dates,diamonds,butter,cars,cucumber,bananas
2000-01-03,1578.85,923.03,1231.12,1036.35,669.36
2000-01-04,1576.77,926.42,1231.34,1037.28,668.78
2000-01-05,1575.44,927.01,1229.38,1038.33,666.96
2000-01-06,1574.65,928.27,1230.93,1038.07,674.68
2000-01-07,1575.08,929.76,1232.27,1039.12,677.95
2000-01-10,1573.96,928.09,1234.54,1038.53,677.66
2000-01-11,1573.83,927.85,1234.28,1038.61,677.66
2000-01-12,1572.14,928.26,1236.84,1039.21,677.77
2000-01-13,1575.71,926.75,1238.75,1038.16,674.41
2000-01-14,1577.12,930.56,1235.68,1039.68,672.11
2000-01-17,1575.37,929.55,1235.18,1040.29,676.91
2000-01-18,1576.13,933.35,1235.55,1037.75,673.84
2000-01-19,1578.63,934.45,1234.35,1037.53,670.94
2000-01-20,1576.55,936.22,1235.17,1035.9,664.8
2000-01-21,1577.59,938.13,1231.2,1035.62,661.82
2000-01-24,1577.92,938.44,1232.68,1035.76,658.96
2000-01-25,1576.58,939.33,1230.1,1036.37,658.99
2000-01-26,1579.46,937.56,1230.14,1036.27,656.19
2000-01-27,1577.23,938.8,1229.91,1035.94,654.17
2000-01-28,1575.54,941.53,1232.48,1036.96,652.16
2000-01-31,1575.99,937.25,1233.51,1035.47,646.24
2000-02-01,1577.96,932.89,1233.61,1035.81,641.73
2000-02-02,1579.02,934.01,1228.95,1037.92,641.33
2000-02-03,1579.02,932.69,1227.46,1036.29,643.3
2000-02-04,1580.63,931.16,1228.58,1035.15,641.73
2000-02-07,1581.86,933.15,1229.08,1036.18,636.56
2000-02-08,1578.81,933.04,1230.85,1037.56,635.1
2000-02-09,1581.06,934.41,1228.53,1036.76,627.67
2000-02-10,1581.47,931.17,1226.38,1035.87,624.66
2000-02-11,1582.34,932.44,1226.8,1034.11,630.89
2000-02-14,1582.01,933.61,1230.84,1033.94,632.11
2000-02-15,1581.31,930.63,1230.52,1034.58,630.51
2000-02-16,1580.99,930.74,1229.22,1034.78,631.52
2000-02-17,1582.19,926.04,1228.49,1035.01,627.01
2000-02-18,1584.53,931.64,1231.44,1034.02,624.53
2000-02-21,1584.02,930.4,1233.23,1033.9,625.68
2000-02-22,1583.61,930.92,1234.58,1034.41,623.87
2000-02-23,1585.47,930.63,1235.67,1033.67,619.8
2000-02-24,1586.54,929.91,1235.87,1034.09,621.67
2000-02-25,1588.37,927.39,1235.81,1034.92,626.55
2000-02-28,1588.43,928.77,1235.91,1035.29,625.8
2000-02-29,1590.78,929.26,1233.67,1035.3,624.6
2000-03-01,1590.87,928.71,1230.47,1037.16,626.46
2000-03-02,1589.5,927.9,1229.43,1037.64,621.35
2000-03-03,1587.15,929.06,1226.96,1039.25,619.32
2000-03-06,1584.52,930.64,1224.41,1040.03,618.72
2000-03-07,1584.28,929.13,1224.21,1039.24,608.25
2000-03-08,1583.78,932.1,1225.81,1039.66,605.57
2000-03-09,1583.62,928.77,1224.43,1040.36,602.76
2000-03-10,1582.38,926.28,1224.19,1039.68,609.31
2000-03-13,1583.44,926.62,1225.06,1039.39,611.03
2000-03-14,1585.73,928.57,1226.79,1039.35,607.88
2000-03-15,1586.15,927.81,1225.24,1042.17,609.46
2000-03-16,1581.13,926.71,1224.3,1040.42,611.91
2000-03-17,1580.8,929.7,1220.08,1041.05,610.93
2000-03-20,1582.2,930.83,1224.83,1042.27,612.27
2000-03-21,1583.48,929.17,1224.07,1041.94,616.2
2000-03-22,1583.55,929.45,1223.03,1040.96,617.58
2000-03-23,1584.41,929.4,1221.43,1040.98,618.92
2000-03-24,1582.94,931.29,1222.94,1040.07,618.47
2000-03-27,1583.4,930.81,1223.57,1040.08,614.24
2000-03-28,1583.64,934.06,1227.09,1040.65,613.49
2000-03-29,1581.35,932.78,1225.83,1040.23,617.84
2000-03-30,1580.69,935.28,1222.04,1039.74,617.98
2000-03-31,1583.13,936.04,1224.58,1040.89,616.62
2000-04-03,1584.72,935.89,1225.98,1041.28,618.68
2000-04-04,1585.33,936.65,1226.0,1040.13,615.4
2000-04-05,1585.01,935.48,1230.47,1039.36,616.11
2000-04-06,1585.66,936.87,1229.7,1039.33,623.39
2000-04-07,1587.78,937.55,1231.5,1038.86,610.05
2000-04-10,1588.59,938.49,1230.83,1038.62,615.32
2000-04-11,1587.69,937.55,1228.47,1037.08,615.88
2000-04-12,1585.82,936.6,1228.27,1036.67,617.69
2000-04-13,1583.63,937.86,1230.61,1037.82,615.71
2000-04-14,1582.86,940.1,1231.43,1037.9,615.37
2000-04-17,1582.18,939.74,1228.99,1038.1,613.98
2000-04-18,1581.21,939.12,1229.19,1038.1,607.9
2000-04-19,1581.96,940.01,1228.79,1038.95,616.26
2000-04-20,1583.94,939.42,1229.55,1038.0,622.0
2000-04-21,1584.89,938.36,1232.51,1038.82,617.56
2000-04-24,1583.37,936.92,1230.27,1039.7,618.39
2000-04-25,1584.58,938.53,1235.32,1040.63,620.75
2000-04-26,1584.52,938.54,1238.19,1041.01,618.48
2000-04-27,1584.63,937.79,1238.19,1041.45,623.08
2000-04-28,1586.89,935.87,1239.93,1041.74,622.46
2000-05-01,1586.41,938.38,1238.46,1041.93,626.49
2000-05-02,1586.32,936.68,1236.15,1043.75,628.81
2000-05-03,1585.14,938.8,1234.58,1044.76,617.85
2000-05-04,1585.95,934.99,1233.64,1045.74,621.43
2000-05-05,1586.77,931.87,1232.49,1045.43,627.61
2000-05-08,1587.94,931.32,1225.17,1044.43,633.28
2000-05-09,1584.76,930.88,1226.51,1044.66,632.01
2000-05-10,1586.53,928.37,1224.68,1044.28,626.18
2000-05-11,1586.09,930.78,1224.23,1044.86,627.75
2000-05-12,1588.09,930.09,1225.51,1044.79,620.57
2000-05-15,1588.61,929.38,1225.12,1044.17,621.63
2000-05-16,1586.81,933.98,1224.44,1045.03,632.5
2000-05-17,1588.18,936.34,1229.3,1045.32,634.39
2000-05-18,1586.69,938.27,1229.85,1044.27,638.44
2000-05-19,1588.19,936.71,1231.43,1043.77,641.52
2000-05-22,1588.71,937.29,1231.06,1043.41,643.37
